2082, -0.64, 0.70, 0.25, -1.04, 1.52, 0.49, 15.00, 61.97, -28.21, 0.9993, 0.0234, 0.0291, 0.0023, 353.32, 357.32, 359.82, 13.61
2095, -0.64, 0.70, 0.24, -0.91, 1.52, 0.49, 14.70, 61.37, -28.51, 0.9993, 0.0236, 0.0295, 0.0023, 353.22, 357.30, 359.81, 13.47
2108, -0.64, 0.70, 0.26, -0.91, 1.52, 0.55, 15.75, 61.37, -28.81, 0.9993, 0.0239, 0.0300, 0.0024, 353.12, 357.27, 359.81, 14.40
2121, -0.65, 0.70, 0.25, -0.91, 1.52, 0.37, 14.85, 63.62, -29.11, 0.9992, 0.0241, 0.0304, 0.0024, 353.02, 357.24, 359.81, 13.14
2134, -0.64, 0.70, 0.24, -1.04, 1.46, 0.37, 14.25, 63.17, -28.21, 0.9992, 0.0244, 0.0309, 0.0025, 352.92, 357.21, 359.80, 12.72
2146, -0.65, 0.71, 0.25, -1.10, 1.52, 0.37, 13.20, 62.42, -29.26, 0.9992, 0.0246, 0.0313, 0.0025, 352.82, 357.19, 359.80, 11.94
2179, -0.62, 0.71, 0.24, -1.10, 1.59, 0.24, 15.00, 61.67, -29.56, 0.9992, 0.0248, 0.0317, 0.0026, 352.72, 357.16, 359.80, 13.67
2192, -0.63, 0.70, 0.24, -1.10, 1.40, 0.37, 12.90, 63.47, -29.26, 0.9992, 0.0251, 0.0321, 0.0026, 352.62, 357.13, 359.79, 11.49
2204, -0.64, 0.70, 0.24, -1.10, 1.34, 0.18, 14.70, 62.42, -28.81, 0.9991, 0.0253, 0.0326, 0.0026, 352.52, 357.11, 359.79, 13.26
2217, -0.64, 0.72, 0.23, -0.98, 1.40, 0.30, 14.10, 62.57, -29.41, 0.9991, 0.0255, 0.0330, 0.0027, 352.42, 357.08, 359.79, 12.70
2230, -0.64, 0.70, 0.24, -1.16, 1.46, 0.30, 13.65, 62.42, -28.51, 0.9991, 0.0258, 0.0334, 0.0027, 352.32, 357.05, 359.79, 12.34
2243, -0.63, 0.71, 0.24, -1.10, 1.65, 0.30, 14.25, 61.97, -28.21, 0.9991, 0.0260, 0.0339, 0.0028, 352.22, 357.03, 359.79, 12.95
2256, -0.64, 0.70, 0.27, -1.22, 1.52, 0.24, 14.85, 63.62, -29.11, 0.9991, 0.0262, 0.0343, 0.0028, 352.12, 357.00, 359.78, 13.14
2291, -0.64, 0.70, 0.23, -1.52, 1.52, 0.30, 15.45, 62.72, -27.76, 0.9990, 0.0264, 0.0347, 0.0028, 352.02, 356.98, 359.78, 13.84
2304, -0.64, 0.70, 0.25, -1.65, 1.52, 0.30, 15.60, 62.87, -28.66, 0.9990, 0.0266, 0.0352, 0.0029, 351.92, 356.96, 359.78, 13.94
2317, -0.64, 0.71, 0.24, -1.65, 1.59, 0.24, 14.55, 63.62, -27.61, 0.9990, 0.0268, 0.0356, 0.0029, 351.82, 356.94, 359.78, 12.89
2329, -0.65, 0.71, 0.25, -1.59, 1.46, 0.30, 13.35, 62.57, -29.11, 0.9990, 0.0270, 0.0361, 0.0030, 351.72, 356.92, 359.77, 12.05
2342, -0.64, 0.71, 0.25, -1.40, 1.34, 0.18, 13.80, 63.32, -28.66, 0.9990, 0.0272, 0.0365, 0.0030, 351.62, 356.89, 359.77, 12.30
2355, -0.64, 0.71, 0.25, -1.34, 1.28, 0.12, 14.85, 62.87, -27.61, 0.9989, 0.0274, 0.0369, 0.0030, 351.53, 356.87, 359.77, 13.29
2368, -0.64, 0.70, 0.25, -1.28, 1.28, 0.24, 14.70, 63.17, -28.81, 0.9989, 0.0276, 0.0373, 0.0031, 351.43, 356.84, 359.77, 13.10
2403, -0.64, 0.70, 0.26, -1.22, 1.16, 0.00, 16.65, 62.27, -27.61, 0.9989, 0.0278, 0.0377, 0.0031, 351.34, 356.82, 359.77, 14.97
2416, -0.64, 0.71, 0.26, -1.22, 0.98, 0.06, 14.85, 61.82, -28.36, 0.9989, 0.0280, 0.0381, 0.0031, 351.25, 356.80, 359.77, 13.51
2430, -0.64, 0.71, 0.26, -1.34, 0.98, 0.12, 14.25, 62.42, -29.26, 0.9989, 0.0282, 0.0385, 0.0031, 351.16, 356.77, 359.77, 12.86
2443, -0.64, 0.71, 0.25, -1.52, 1.04, 0.06, 15.45, 62.42, -27.76, 0.9988, 0.0284, 0.0389, 0.0031, 351.07, 356.75, 359.77, 13.91
2456, -0.64, 0.71, 0.25, -1.52, 1.16, 0.12, 15.00, 62.42, -27.76, 0.9988, 0.0286, 0.0393, 0.0032, 350.98, 356.73, 359.76, 13.52
2469, -0.64, 0.71, 0.23, -1.77, 1.46, 0.06, 14.55, 62.27, -29.41, 0.9988, 0.0288, 0.0397, 0.0032, 350.88, 356.71, 359.76, 13.16
2482, -0.65, 0.71, 0.24, -2.07, 1.52, 0.18, 13.80, 62.87, -28.36, 0.9988, 0.0290, 0.0401, 0.0032, 350.78, 356.69, 359.76, 12.38
2518, -0.65, 0.70, 0.23, -2.20, 1.65, 0.18, 14.25, 61.97, -27.76, 0.9987, 0.0291, 0.0406, 0.0033, 350.68, 356.67, 359.76, 12.95
2532, -0.65, 0.70, 0.25, -2.38, 1.65, 0.12, 13.65, 62.72, -28.51, 0.9987, 0.0292, 0.0410, 0.0033, 350.58, 356.66, 359.76, 12.28
2545, -0.64, 0.71, 0.25, -2.56, 1.71, 0.30, 13.95, 62.72, -29.56, 0.9987, 0.0293, 0.0415, 0.0033, 350.47, 356.65, 359.76, 12.54
2558, -0.65, 0.70, 0.24, -2.44, 1.59, 0.06, 15.15, 61.07, -27.61, 0.9987, 0.0294, 0.0419, 0.0034, 350.37, 356.64, 359.75, 13.94
2571, -0.64, 0.71, 0.25, -2.38, 1.83, 0.06, 14.25, 63.77, -27.76, 0.9987, 0.0295, 0.0424, 0.0034, 350.26, 356.62, 359.75, 12.60
2584, -0.64, 0.70, 0.25, -2.13, 1.59, 0.06, 14.55, 62.87, -29.11, 0.9986, 0.0297, 0.0428, 0.0034, 350.16, 356.61, 359.75, 13.03
2598, -0.64, 0.70, 0.26, -2.20, 1.52, 0.18, 14.25, 62.42, -28.81, 0.9986, 0.0298, 0.0433, 0.0035, 350.06, 356.59, 359.75, 12.86
2631, -0.65, 0.70, 0.26, -2.20, 1.52, 0.18, 15.60, 63.32, -27.61, 0.9986, 0.0299, 0.0437, 0.0035, 349.96, 356.58, 359.75, 13.84
