1478, -0.75, 0.52, 0.32, -2.87, 1.34, -1.89, 52.21, 102.33, 7.05, 1.0000, 0.0075, 0.0011, -0.0001, 359.75, 359.14, 0.02, 27.03
1491, -0.76, 0.52, 0.32, -2.93, 1.28, -2.01, 53.86, 101.73, 5.85, 1.0000, 0.0075, 0.0016, -0.0003, 359.64, 359.14, 0.04, 27.90
1504, -0.76, 0.54, 0.33, -2.87, 1.28, -2.01, 53.56, 100.68, 6.90, 1.0000, 0.0075, 0.0021, -0.0005, 359.53, 359.14, 0.06, 28.01
1517, -0.75, 0.53, 0.36, -2.99, 1.28, -2.20, 54.31, 101.43, 5.85, 1.0000, 0.0075, 0.0025, -0.0007, 359.42, 359.14, 0.08, 28.17
1530, -0.74, 0.54, 0.38, -2.93, 1.04, -2.26, 53.56, 101.43, 5.85, 1.0000, 0.0074, 0.0030, -0.0009, 359.32, 359.15, 0.10, 27.84
1542, -0.76, 0.53, 0.35, -2.80, 0.79, -2.38, 55.81, 102.93, 7.05, 1.0000, 0.0074, 0.0034, -0.0011, 359.22, 359.15, 0.12, 28.47
1555, -0.75, 0.52, 0.37, -2.38, 1.95, -2.26, 55.21, 101.88, 5.25, 1.0000, 0.0075, 0.0039, -0.0013, 359.11, 359.14, 0.15, 28.46
1568, -0.76, 0.51, 0.36, -1.59, 2.93, -2.26, 53.71, 100.83, 6.00, 1.0000, 0.0076, 0.0045, -0.0015, 358.97, 359.13, 0.17, 28.05
1633, -0.74, 0.52, 0.36, -1.28, 3.48, -2.01, 52.96, 101.13, 6.75, 1.0000, 0.0077, 0.0052, -0.0016, 358.81, 359.12, 0.19, 27.64
1646, -0.83, 0.45, 0.33, -1.77, 1.83, -2.20, 54.31, 102.03, 5.85, 1.0000, 0.0078, 0.0058, -0.0018, 358.68, 359.11, 0.21, 28.03
1659, -0.76, 0.57, 0.32, -3.23, 1.46, -2.26, 53.11, 99.62, 4.80, 0.9999, 0.0078, 0.0063, -0.0020, 358.56, 359.11, 0.24, 28.06
1672, -0.77, 0.46, 0.32, -3.05, 0.98, -1.59, 53.71, 101.58, 5.70, 0.9999, 0.0078, 0.0068, -0.0021, 358.46, 359.11, 0.25, 27.87
1685, -0.76, 0.47, 0.32, -2.87, 2.01, -1.04, 52.96, 102.33, 3.60, 0.9999, 0.0077, 0.0073, -0.0022, 358.34, 359.11, 0.26, 27.37
1699, -0.77, 0.53, 0.33, -3.29, 2.20, -0.98, 52.96, 101.58, 3.90, 0.9999, 0.0077, 0.0078, -0.0023, 358.21, 359.12, 0.27, 27.54
1712, -0.76, 0.54, 0.36, -3.11, 2.26, -0.61, 53.86, 102.48, 7.20, 0.9999, 0.0076, 0.0084, -0.0024, 358.08, 359.12, 0.28, 27.73
1725, -0.78, 0.51, 0.35, -2.68, 1.71, -0.24, 52.66, 104.13, 6.30, 0.9999, 0.0076, 0.0089, -0.0024, 357.96, 359.12, 0.28, 26.83
1761, -0.79, 0.50, 0.33, -2.07, 1.77, -0.12, 52.96, 100.83, 8.10, 0.9999, 0.0077, 0.0095, -0.0024, 357.83, 359.12, 0.28, 27.71
1774, -0.83, 0.45, 0.34, -1.40, 1.71, -0.30, 52.21, 101.58, 9.15, 0.9999, 0.0078, 0.0100, -0.0024, 357.71, 359.11, 0.29, 27.20
1787, -0.75, 0.56, 0.36, -2.56, 2.44, -0.18, 53.41, 102.63, 8.70, 0.9999, 0.0078, 0.0106, -0.0024, 357.58, 359.10, 0.29, 27.50
1800, -0.70, 0.51, 0.29, -2.74, 2.99, 1.34, 50.86, 102.63, 8.40, 0.9999, 0.0078, 0.0112, -0.0023, 357.44, 359.10, 0.28, 26.36
1813, -0.76, 0.48, 0.35, -1.28, 2.99, 1.59, 51.91, 103.38, 10.80, 0.9999, 0.0079, 0.0118, -0.0022, 357.30, 359.09, 0.26, 26.66
1826, -0.78, 0.49, 0.38, -0.98, 2.44, 0.91, 53.11, 103.98, 11.10, 0.9999, 0.0080, 0.0124, -0.0021, 357.16, 359.08, 0.25, 27.06
1840, -0.72, 0.76, 0.33, -0.91, 1.95, 0.49, 50.86, 103.68, 10.80, 0.9999, 0.0082, 0.0129, -0.0020, 357.04, 359.05, 0.24, 26.13
1853, -0.77, 0.62, 0.47, -0.43, 1.04, 0.91, 53.71, 102.93, 10.50, 0.9999, 0.0085, 0.0134, -0.0019, 356.94, 359.02, 0.24, 27.56
1888, -0.75, 0.58, 0.37, -0.24, 1.52, 1.46, 52.51, 103.53, 9.00, 0.9999, 0.0088, 0.0139, -0.0018, 356.83, 358.99, 0.22, 26.90
1902, -0.69, 0.65, 0.36, -0.30, 2.74, 1.34, 52.66, 103.68, 8.10, 0.9999, 0.0090, 0.0144, -0.0017, 356.70, 358.96, 0.21, 26.93
1915, -0.75, 0.54, 0.38, -0.85, 2.99, 2.26, 52.06, 102.03, 7.50, 0.9998, 0.0093, 0.0150, -0.0015, 356.56, 358.93, 0.19, 27.03
1928, -0.74, 0.54, 0.41, -2.07, 2.62, 2.32, 52.06, 102.78, 7.20, 0.9998, 0.0094, 0.0156, -0.0013, 356.42, 358.92, 0.16, 26.87
1941, -0.73, 0.58, 0.33, -2.56, 2.13, 2.56, 51.61, 101.13, 5.25, 0.9998, 0.0094, 0.0162, -0.0011, 356.29, 358.92, 0.14, 27.04
1954, -0.79, 0.48, 0.33, -0.85, 2.44, 2.68, 52.81, 101.43, 5.10, 0.9998, 0.0096, 0.0173, -0.0006, 356.04, 358.89, 0.08, 27.51
1968, -0.77, 0.51, 0.37, -0.43, 2.32, 2.13, 51.16, 101.88, 5.70, 0.9998, 0.0098, 0.0179, -0.0003, 355.90, 358.87, 0.06, 26.67
