1482, -0.74, 0.57, 0.30, -10.49, 4.70, -12.01, 24.91, 114.48, 3.60, 1.0000, 0.0068, 0.0014, -0.0010, 359.68, 359.22, 0.12, 12.27
1495, -0.74, 0.56, 0.30, -10.43, 4.70, -11.65, 28.36, 114.03, 4.05, 1.0000, 0.0062, 0.0022, -0.0021, 359.50, 359.29, 0.24, 13.97
1508, -0.74, 0.56, 0.30, -10.43, 4.70, -11.16, 29.26, 115.23, 3.90, 1.0000, 0.0055, 0.0030, -0.0030, 359.33, 359.37, 0.35, 14.25
1521, -0.74, 0.55, 0.30, -10.12, 4.88, -10.55, 30.31, 113.43, 4.65, 1.0000, 0.0049, 0.0038, -0.0040, 359.14, 359.44, 0.46, 14.96
1534, -0.75, 0.56, 0.25, -10.12, 5.00, -9.94, 28.51, 113.43, 2.25, 1.0000, 0.0043, 0.0046, -0.0048, 358.96, 359.51, 0.56, 14.11
1547, -0.76, 0.55, 0.32, -9.94, 4.94, -9.39, 27.76, 114.18, 3.15, 1.0000, 0.0037, 0.0054, -0.0057, 358.78, 359.58, 0.65, 13.66
1559, -0.75, 0.53, 0.34, -9.82, 4.88, -8.72, 30.16, 115.08, 2.40, 1.0000, 0.0030, 0.0062, -0.0064, 358.59, 359.65, 0.74, 14.68
1572, -0.75, 0.53, 0.32, -9.63, 4.94, -7.99, 29.56, 115.23, 3.15, 0.9999, 0.0025, 0.0070, -0.0071, 358.41, 359.71, 0.82, 14.39
1630, -0.75, 0.54, 0.33, -9.45, 4.94, -7.32, 29.41, 114.03, 2.40, 0.9999, 0.0019, 0.0078, -0.0078, 358.22, 359.78, 0.89, 14.46
1643, -0.74, 0.55, 0.33, -9.09, 4.88, -6.89, 30.31, 113.43, 2.25, 0.9999, 0.0013, 0.0086, -0.0084, 358.04, 359.84, 0.96, 14.96
1656, -0.74, 0.55, 0.33, -8.78, 4.82, -6.16, 30.31, 114.48, 2.55, 0.9999, 0.0008, 0.0093, -0.0089, 357.86, 359.90, 1.02, 14.83
1669, -0.74, 0.54, 0.34, -8.29, 4.76, -5.43, 30.31, 114.18, 2.25, 0.9999, 0.0003, 0.0101, -0.0094, 357.68, 359.95, 1.07, 14.87
1682, -0.73, 0.54, 0.35, -8.05, 4.70, -5.12, 30.01, 114.18, 1.50, 0.9999, -0.0001, 0.0109, -0.0098, 357.50, 360.00, 1.12, 14.73
1695, -0.73, 0.54, 0.35, -7.80, 4.70, -4.57, 28.36, 114.33, 3.45, 0.9999, -0.0005, 0.0117, -0.0102, 357.32, 0.05, 1.17, 13.93
1708, -0.73, 0.55, 0.36, -7.80, 4.82, -4.09, 29.41, 114.33, 1.95, 0.9999, -0.0009, 0.0124, -0.0106, 357.15, 0.09, 1.21, 14.42
1722, -0.72, 0.55, 0.35, -7.87, 4.82, -3.72, 29.41, 114.03, 2.70, 0.9999, -0.0014, 0.0132, -0.0109, 356.97, 0.14, 1.24, 14.46
1757, -0.72, 0.55, 0.37, -8.17, 4.94, -3.54, 30.01, 114.48, 3.15, 0.9998, -0.0018, 0.0140, -0.0112, 356.79, 0.19, 1.28, 14.69
1770, -0.70, 0.57, 0.37, -8.66, 5.30, -3.35, 30.31, 114.48, 2.85, 0.9998, -0.0023, 0.0148, -0.0114, 356.60, 0.24, 1.31, 14.83
1783, -0.71, 0.58, 0.38, -9.02, 5.49, -3.35, 28.96, 114.48, 1.80, 0.9998, -0.0028, 0.0156, -0.0117, 356.42, 0.30, 1.34, 14.20
